dispute_id,order_id,customer_id,order_date,delivery_date,dispute_date,days_to_dispute,order_amount_inr,customer_avg_order_val,order_value_ratio,reason_code,avs_match,cvv_match,pod_confirmed,address_match,repeat_customer,win_probability_ground_truth,won_dispute
DSP-2024-1004,ORD-800004,CUST-74505,2024-01-01 19:00:00,2024-01-03 19:00:00,2024-01-07 19:00:00,4,5072.47,1731.22,2.93,13.1_not_received,1,1,0,1,1,0.2403,0
DSP-2024-1003,ORD-800003,CUST-99812,2024-01-01 09:00:00,2024-01-07 09:00:00,2024-01-09 09:00:00,2,888.64,1251.61,0.71,10.4_fraud,1,1,0,1,1,0.7522,1
DSP-2024-1015,ORD-800015,CUST-20966,2024-01-05 13:00:00,2024-01-09 13:00:00,2024-01-10 13:00:00,1,2274.52,899.02,2.53,10.4_fraud,0,1,0,1,0,0.0593,0
DSP-2024-1018,ORD-800018,CUST-45247,2024-01-04 14:00:00,2024-01-09 14:00:00,2024-01-10 14:00:00,1,2474.09,8246.98,0.3,13.1_not_received,1,1,1,0,1,0.8847,1
DSP-2024-1007,ORD-800007,CUST-23545,2024-01-04 18:00:00,2024-01-06 18:00:00,2024-01-10 18:00:00,4,2216.85,2519.15,0.88,13.1_not_received,1,1,0,1,0,0.1791,0
DSP-2024-1013,ORD-800013,CUST-55236,2024-01-05 10:00:00,2024-01-10 10:00:00,2024-01-11 10:00:00,1,3447.8,1581.56,2.18,12.6_duplicate,1,1,0,1,0,0.4246,0
DSP-2024-1023,ORD-800023,CUST-16801,2024-01-07 19:00:00,2024-01-09 19:00:00,2024-01-11 19:00:00,2,1580.44,1019.64,1.55,10.4_fraud,1,0,1,1,1,0.2178,0
DSP-2024-1020,ORD-800020,CUST-25305,2024-01-05 21:00:00,2024-01-08 21:00:00,2024-01-11 21:00:00,3,12256.56,3782.89,3.24,10.4_fraud,1,1,0,0,0,0.5277,1
DSP-2024-1000,ORD-800000,CUST-25795,2024-01-01 18:00:00,2024-01-07 18:00:00,2024-01-12 18:00:00,5,2103.29,2336.99,0.9,13.1_not_received,0,1,0,1,0,0.0247,0
DSP-2024-1045,ORD-800045,CUST-77526,2024-01-10 12:00:00,2024-01-12 12:00:00,2024-01-13 12:00:00,1,1411.78,1397.8,1.01,13.3_not_as_described,1,1,1,1,0,0.3601,0
DSP-2024-1033,ORD-800033,CUST-65645,2024-01-09 20:00:00,2024-01-11 20:00:00,2024-01-13 20:00:00,2,3965.16,3073.77,1.29,13.3_not_as_described,1,1,1,1,0,0.3146,0
DSP-2024-1028,ORD-800028,CUST-72292,2024-01-07 16:00:00,2024-01-11 16:00:00,2024-01-14 16:00:00,3,697.16,893.79,0.78,13.1_not_received,0,0,1,1,1,0.8653,1
DSP-2024-1010,ORD-800010,CUST-30932,2024-01-02 18:00:00,2024-01-04 18:00:00,2024-01-14 18:00:00,10,7976.85,6485.24,1.23,10.4_fraud,0,1,1,1,1,0.2987,0
DSP-2024-1053,ORD-800053,CUST-34058,2024-01-10 18:00:00,2024-01-13 18:00:00,2024-01-14 18:00:00,1,4056.62,4056.62,1.0,13.3_not_as_described,0,1,1,1,0,0.3427,0
DSP-2024-1050,ORD-800050,CUST-45954,2024-01-10 21:00:00,2024-01-12 21:00:00,2024-01-14 21:00:00,2,1410.23,1175.19,1.2,10.4_fraud,1,0,1,1,0,0.1982,0
DSP-2024-1016,ORD-800016,CUST-90738,2024-01-05 15:00:00,2024-01-10 15:00:00,2024-01-15 15:00:00,5,4097.15,4764.13,0.86,12.6_duplicate,0,1,1,1,0,0.4818,0
